precision,recall,f1_score
0.7878532264867145,0.8218213814342279,0.8044788975021533
0.8767353807320152,0.9168499780026397,0.8963440860215055
0.9015968925334484,0.9190497140343159,0.910239651416122
0.8929936305732484,0.9252089749230092,0.9088159031979257
0.9015900300816502,0.923009238891333,0.9121739130434783
0.8899786780383795,0.9181698196216455,0.9038544824599394
0.9009943795936014,0.9168499780026397,0.9088530309638029
0.9003021148036254,0.9177298724153101,0.9089324618736384
0.8974579922447221,0.9164100307963045,0.9068350021767522
0.9003880983182406,0.9186097668279807,0.9094076655052264
