precision,recall,f1_score
0.8497256226255804,0.8856137263528376,0.8672985781990522
0.8911101658868567,0.9216893972723273,0.9061418685121106
0.903308981521272,0.924769027716674,0.913913043478261
0.8942430703624733,0.9225692916849978,0.9081853616284105
0.9071583514099784,0.9199296084469863,0.9134993446920053
0.8976344086021505,0.9181698196216455,0.9077859939103958
0.8948268490808038,0.9208095028596568,0.9076322636600173
0.902555218709398,0.9168499780026397,0.909646442601484
0.900650759219089,0.9133304003519578,0.90694626474443
0.900391474554154,0.9106907171139463,0.9055118110236221
